Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,417.80","0.45%","4,413.10","5,97,270","2,95,451.42","34.71","37.58","5,165.00","3,046.05","-2.49%","-8.03%","5.94%","247.79%","931.23%","7.92","0.91%","26.15%","17.49%","113.89","4,530.59","4,593.72","50.23","74.66%","87.50%"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","403.15","1.37%","399.65","1,09,50,368","2,94,693.73","51.05","30.21","436.00","240.25","-3.38%","-0.82%","37.17%","302.14%","856.92%","13.48","0.60%","24.13%","33.72%","5.80","407.27","379.08","53.96","75.80%","87.50%"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,180.70","0.79%","1,172.00","9,03,240","2,88,734.75","47.16","24.21","1,223.90","880.00","1.05%","3.02%","30.40%","52.29%","202.98%","3.46","0.30%","11.25%","7.49%","28.47","1,144.90","1,071.80","65.74","76.00%","90.37%"
"Wipro","https://scanx.trade/company/wipro-ltd","269.00","0.62%","267.35","82,86,204","2,82,092.73","20.69","32.92","324.60","228.00","7.48%","11.59%","-10.42%","36.87%","38.62%","3.28","2.24%","14.88%","18.97%","21.37","252.38","252.14","64.73","76.00%","90.49%"
"Eternal","https://scanx.trade/company/zomato-ltd","284.15","0.12%","283.80","1,36,24,798","2,74,214.71","1,492.89","41.37","368.45","194.80","-5.75%","-13.63%","2.77%","371.23%","125.52%","8.87","-","1.72%","2.63%","0.68","300.59","280.54","42.98","72.84%","85.51%"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,772.60","0.75%","2,755.80","5,08,884","2,65,947.18","66.59","42.43","2,985.70","2,124.75","-3.31%","18.70%","20.30%","-9.01%","-0.11%","13.48","0.90%","28.61%","23.98%","52.96","2,763.12","2,482.60","47.86","78.00%","91.00%"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","628.80","2.75%","615.00","63,24,442","2,65,688.06","24.47","-96.29","656.35","378.15","25.80%","30.63%","41.61%","93.42%","163.04%","18.87","4.74%","51.06%","62.89%","19.26","518.98","466.98","72.62","58.00%","85.58%"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,502.50","-0.58%","9,550.00","7,33,651","2,65,364.54","32.08","12.50","9,585.00","7,089.35","4.47%","10.15%","8.72%","165.88%","172.96%","7.82","2.19%","26.61%","24.90%","286.76","9,015.87","8,579.06","66.25","76.00%","90.74%"
"Coal India","https://scanx.trade/company/coal-india-ltd","427.90","6.85%","401.35","3,50,90,129","2,63,703.15","7.94","-96.29","417.25","349.25","12.71%","10.14%","10.74%","90.39%","216.14%","2.34","6.62%","44.71%","24.48%","59.34","385.80","388.71","82.21","76.00%","91.00%"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,279.80","0.88%","2,260.00","7,15,242","2,63,130.12","30.18","39.81","2,612.78","1,964.72","0.79%","-9.30%","-7.96%","-38.78%","378.78%","4.82","0.06%","7.45%","10.92%","37.44","2,315.18","2,359.19","52.38","71.37%","80.00%"
